
 num     #instances         #bytes  class name
 104:          2822          67728  org.apache.spark.CleanAccum
 105:          2816          67584  org.antlr.v4.runtime.atn.EpsilonTransition
 106:          1387          66576  scala.tools.nsc.util.DirectoryClassPath
 107:             2          65568  [Lscala.concurrent.forkjoin.ForkJoinTask;
 108:          2729          65496  scala.reflect.internal.Types$NullaryMethodType
 109:          1997          63904  scala.reflect.internal.Types$JavaMethodType
 110:           653          62688  java.util.jar.JarFile$JarFileEntry
 111:          1047          58632  scala.collection.immutable.Vector
 112:          1788          57216  scala.reflect.internal.Trees$Literal
 113:          1784          57088  scala.reflect.internal.Names$TypeName_S
 114:          1750          56000  scala.collection.mutable.ListBuffer
 115:          1497          52632  [Lscala.collection.immutable.HashMap;
 116:          1776          52200  [Lorg.codehaus.janino.IClass$IMethod;
 117:          1053          50544  java.util.WeakHashMap
 118:          2106          50544  org.antlr.v4.runtime.atn.AtomTransition
 119:           199          42984  org.datanucleus.metadata.FieldMetaData
 120:           668          42752  java.util.jar.JarFile
 121:           580          41760  org.apache.hadoop.hive.conf.HiveConf$ConfVars
 122:           580          41760  org.apache.hadoop.hive.conf.HiveConf$ConfVars
 123:           741          41496  sun.nio.cs.UTF_8$Encoder
 124:           646          41344  scala.reflect.internal.pickling.UnPickler$Scan
 125:           736          41216  java.lang.Package
 126:          1266          40512  java.lang.ref.ReferenceQueue
 127:           992          39680  org.datanucleus.plugin.ConfigurationElement
 128:           708          39648  sun.misc.URLClassPath$JarLoader
 129:           953          38120  java.util.TreeMap$Entry
 130:           523          37656  org.apache.spark.storage.RDDInfo
 131:           907          36280  scala.reflect.internal.Types$UniqueSingleType
 132:          1105          35360  com.codahale.metrics.WeightedSnapshot$WeightedSample
 133:          1462          35088  scala.reflect.internal.Types$PolyType
 134:          1448          34752  scala.collection.immutable.HashMap$HashTrieMap
 135:           699          33552  java.util.zip.Inflater
 136:          1356          32544  scala.reflect.internal.Constants$Constant
 137:           203          32480  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$1
 138:           794          31760  java.io.ObjectStreamField
 139:           486          31104  scala.reflect.internal.Types$AliasNoArgsTypeRef
 140:           935          29920  java.util.zip.ZipCoder
 141:          1172          28128  scala.collection.immutable.HashSet$HashSet1
 142:          1751          28016  com.google.common.collect.MapMakerInternalMap$StrongValueReference
 143:           863          27616  java.util.concurrent.locks.ReentrantLock$NonfairSync
 144:          1133          27192  java.lang.Double
 145:           337          26960  scala.reflect.internal.Types$PackageClassInfoType
 146:          1110          26640  java.util.concurrent.ConcurrentSkipListMap$Node
 147:           174          26448  org.apache.spark.ui.jobs.UIData$StageUIData
 148:          1567          25072  java.lang.Integer
 149:           391          25024  java.util.concurrent.ConcurrentHashMap
 150:           306          24480  org.datanucleus.metadata.ColumnMetaData
 151:           716          22912  java.lang.StackTraceElement
 152:           567          22680  scala.reflect.internal.Trees$Select
 153:           939          22536  java.util.ArrayDeque
 154:           546          21840  org.antlr.v4.runtime.atn.LexerATNConfig
 155:           302          21744  org.apache.spark.sql.catalyst.expressions.AttributeReference
 156:           658          21056  java.util.Vector
 157:           180          20944  [Z
 158:          1033          20856  [Lorg.datanucleus.plugin.ConfigurationElement;
 159:            55          20680  java.lang.Thread
 160:             5          20560  [Ljava.nio.ByteBuffer;
 161:          1268          20288  java.lang.ref.ReferenceQueue$Lock
 162:           504          20160  io.netty.buffer.PoolChunkList
 163:            20          19840  [Lio.netty.util.Recycler$DefaultHandle;
 164:           604          19328  org.apache.spark.ui.scope.RDDOperationCluster
 165:            33          19008  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 166:           389          19000  [S
 167:           458          18320  scala.reflect.internal.util.BatchSourceFile
 168:           759          18216  sun.reflect.annotation.AnnotationInvocationHandler
 169:           372          17856  java.util.Hashtable
 170:           196          17248  scala.reflect.internal.Symbols$AliasTypeSymbol
 171:           423          16920  org.apache.spark.ui.jobs.UIData$ShuffleWriteMetricsUIData
 172:           699          16776  java.util.zip.ZStreamRef
 173:           523          16736  org.apache.spark.ui.scope.RDDOperationNode
 174:           418          16720  java.security.ProtectionDomain
